Product_Name,Brand,Category,Country_of_Origin,Sold_In_India,Banned_In,Reason,Key_Additives,Risk_Level,Barcode
Parle Product Variant 261,Parle,Chips,India,Yes,None,None,E202,Low,8.90118E+12
Tata Consumer Product Variant 262,Tata Consumer,Energy Drink,India,Yes,None,None,E202,Low,8.90166E+12
Paper Boat Product Variant 263,Paper Boat,Chips,India,Yes,None,None,E621,Low,8.90458E+12
Haldiram’s Product Variant 264,Haldiram’s,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90862E+12
Britannia Product Variant 265,Britannia,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.9097E+12
Amul Product Variant 266,Amul,Juice,India,Yes,None,None,E211,Low,8.9067E+12
Britannia Product Variant 267,Britannia,Dairy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90653E+12
Paper Boat Product Variant 268,Paper Boat,Energy Drink,India,Yes,None,None,E202,Low,8.90635E+12
Dabur Product Variant 269,Dabur,Energy Drink,India,Yes,None,None,E202,Low,8.90887E+12
Nestlé India Product Variant 270,Nestlé India,Chips,India,Yes,None,None,None,Low,8.90505E+12
Amul Product Variant 271,Amul,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90609E+12
Britannia Product Variant 272,Britannia,Breakfast Cereal,India,Yes,None,None,None,Low,8.9028E+12
Tata Consumer Product Variant 273,Tata Consumer,Dairy Drink,India,Yes,None,None,E621,Low,8.90284E+12
Paper Boat Product Variant 274,Paper Boat,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90457E+12
Marico Product Variant 275,Marico,Chips,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90095E+12
Parle Product Variant 276,Parle,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90533E+12
Amul Product Variant 277,Amul,Instant Noodles,India,Yes,None,None,E211,Low,8.90624E+12
ITC Product Variant 278,ITC,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90698E+12
Britannia Product Variant 279,Britannia,Beverage,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90161E+12
Tata Consumer Product Variant 280,Tata Consumer,Dessert,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90377E+12
ITC Product Variant 281,ITC,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90671E+12
Britannia Product Variant 282,Britannia,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90054E+12
Dabur Product Variant 283,Dabur,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90705E+12
Dabur Product Variant 284,Dabur,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90058E+12
Amul Product Variant 285,Amul,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90242E+12
Nestlé India Product Variant 286,Nestlé India,Energy Drink,India,Yes,None,None,None,Low,8.90149E+12
ITC Product Variant 287,ITC,Chips,India,Yes,None,None,E202,Low,8.90813E+12
Tata Consumer Product Variant 288,Tata Consumer,Energy Drink,India,Yes,None,None,E621,Low,8.90258E+12
Britannia Product Variant 289,Britannia,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90676E+12
Paper Boat Product Variant 290,Paper Boat,Energy Drink,India,Yes,None,None,E621,Low,8.90395E+12
Haldiram’s Product Variant 291,Haldiram’s,Energy Drink,India,Yes,None,None,E202,Low,8.90866E+12
Paper Boat Product Variant 292,Paper Boat,Instant Noodles,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90082E+12
Britannia Product Variant 293,Britannia,Chips,India,Yes,None,None,None,Low,8.90249E+12
Paper Boat Product Variant 294,Paper Boat,Chocolate,India,Yes,None,None,E621,Low,8.90161E+12
Dabur Product Variant 295,Dabur,Biscuits,India,Yes,None,None,None,Low,8.90553E+12
Parle Product Variant 296,Parle,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90787E+12
Parle Product Variant 297,Parle,Dairy Drink,India,Yes,None,None,None,Low,8.90362E+12
Dabur Product Variant 298,Dabur,Energy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90119E+12
ITC Product Variant 299,ITC,Dessert,India,Yes,None,None,E621,Low,8.90753E+12
Nestlé India Product Variant 300,Nestlé India,Energy Drink,India,Yes,None,None,E621,Low,8.90878E+12
Britannia Product Variant 301,Britannia,Energy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90934E+12
Dabur Product Variant 302,Dabur,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90669E+12
ITC Product Variant 303,ITC,Chocolate,India,Yes,None,None,E211,Low,8.90268E+12
Marico Product Variant 304,Marico,Candy,India,Yes,None,None,E211,Low,8.90207E+12
Nestlé India Product Variant 305,Nestlé India,Chips,India,Yes,None,None,E202,Low,8.90683E+12
Tata Consumer Product Variant 306,Tata Consumer,Chips,India,Yes,None,None,None,Low,8.90951E+12
Nestlé India Product Variant 307,Nestlé India,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90597E+12
Haldiram’s Product Variant 308,Haldiram’s,Dessert,India,Yes,None,None,None,Low,8.90066E+12
Nestlé India Product Variant 309,Nestlé India,Candy,India,Yes,None,None,E211,Low,8.90716E+12
Balaji Product Variant 310,Balaji,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90455E+12
Tata Consumer Product Variant 311,Tata Consumer,Breakfast Cereal,India,Yes,None,None,None,Low,8.90054E+12
Tata Consumer Product Variant 312,Tata Consumer,Snack,India,Yes,None,None,None,Low,8.90908E+12
Marico Product Variant 313,Marico,Biscuits,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90572E+12
Balaji Product Variant 314,Balaji,Beverage,India,Yes,None,None,E211,Low,8.90103E+12
Haldiram’s Product Variant 315,Haldiram’s,Beverage,India,Yes,None,None,E202,Low,8.90455E+12
Amul Product Variant 316,Amul,Breakfast Cereal,India,Yes,None,None,E621,Low,8.90118E+12
Balaji Product Variant 317,Balaji,Chips,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90602E+12
Paper Boat Product Variant 318,Paper Boat,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90572E+12
Amul Product Variant 319,Amul,Candy,India,Yes,None,None,E621,Low,8.9044E+12
Amul Product Variant 320,Amul,Juice,India,Yes,None,None,E211,Low,8.90147E+12
Balaji Product Variant 321,Balaji,Dairy Drink,India,Yes,None,None,E621,Low,8.90796E+12
Parle Product Variant 322,Parle,Chips,India,Yes,None,None,None,Low,8.90117E+12
Paper Boat Product Variant 323,Paper Boat,Beverage,India,Yes,None,None,E621,Low,8.90338E+12
Paper Boat Product Variant 324,Paper Boat,Beverage,India,Yes,None,None,E621,Low,8.9085E+12
Haldiram’s Product Variant 325,Haldiram’s,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90588E+12
Nestlé India Product Variant 326,Nestlé India,Snack,India,Yes,None,None,E621,Low,8.90569E+12
Tata Consumer Product Variant 327,Tata Consumer,Chips,India,Yes,None,None,None,Low,8.90042E+12
Amul Product Variant 328,Amul,Beverage,India,Yes,None,None,E621,Low,8.90647E+12
Balaji Product Variant 329,Balaji,Candy,India,Yes,None,None,None,Low,8.90931E+12
Haldiram’s Product Variant 330,Haldiram’s,Juice,India,Yes,None,None,E211,Low,8.90037E+12
Balaji Product Variant 331,Balaji,Biscuits,India,Yes,None,None,E211,Low,8.90121E+12
Tata Consumer Product Variant 332,Tata Consumer,Energy Drink,India,Yes,None,None,E202,Low,8.906E+12
ITC Product Variant 333,ITC,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90497E+12
Tata Consumer Product Variant 334,Tata Consumer,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90655E+12
Paper Boat Product Variant 335,Paper Boat,Chocolate,India,Yes,None,None,E202,Low,8.90551E+12
Nestlé India Product Variant 336,Nestlé India,Beverage,India,Yes,None,None,E621,Low,8.90346E+12
Nestlé India Product Variant 337,Nestlé India,Dairy Drink,India,Yes,None,None,None,Low,8.90045E+12
Parle Product Variant 338,Parle,Juice,India,Yes,None,None,E621,Low,8.90201E+12
Tata Consumer Product Variant 339,Tata Consumer,Beverage,India,Yes,None,None,None,Low,8.90194E+12
Paper Boat Product Variant 340,Paper Boat,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90786E+12
Paper Boat Product Variant 341,Paper Boat,Dairy Drink,India,Yes,None,None,E621,Low,8.90942E+12
Tata Consumer Product Variant 342,Tata Consumer,Biscuits,India,Yes,None,None,None,Low,8.9043E+12
Paper Boat Product Variant 343,Paper Boat,Snack,India,Yes,None,None,E621,Low,8.90483E+12
Dabur Product Variant 344,Dabur,Chips,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90453E+12
Marico Product Variant 345,Marico,Chips,India,Yes,None,None,E621,Low,8.90188E+12
Britannia Product Variant 346,Britannia,Juice,India,Yes,None,None,None,Low,8.90825E+12
Nestlé India Product Variant 347,Nestlé India,Dairy Drink,India,Yes,None,None,None,Low,8.90881E+12
Marico Product Variant 348,Marico,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90449E+12
Marico Product Variant 349,Marico,Snack,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90815E+12
Parle Product Variant 350,Parle,Juice,India,Yes,None,None,E211,Low,8.90654E+12
Marico Product Variant 351,Marico,Chips,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90725E+12
Nestlé India Product Variant 352,Nestlé India,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90066E+12
Britannia Product Variant 353,Britannia,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90668E+12
Amul Product Variant 354,Amul,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90614E+12
Haldiram’s Product Variant 355,Haldiram’s,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90345E+12
Haldiram’s Product Variant 356,Haldiram’s,Candy,India,Yes,None,None,E211,Low,8.90824E+12
Nestlé India Product Variant 357,Nestlé India,Dairy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90304E+12
Marico Product Variant 358,Marico,Snack,India,Yes,None,None,E202,Low,8.90937E+12
Parle Product Variant 359,Parle,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9061E+12
Parle Product Variant 360,Parle,Candy,India,Yes,None,None,E211,Low,8.90302E+12
Britannia Product Variant 361,Britannia,Energy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90868E+12
Britannia Product Variant 362,Britannia,Juice,India,Yes,None,None,E621,Low,8.90439E+12
Nestlé India Product Variant 363,Nestlé India,Chocolate,India,Yes,None,None,E202,Low,8.90801E+12
Britannia Product Variant 364,Britannia,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90728E+12
Britannia Product Variant 365,Britannia,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90045E+12
Dabur Product Variant 366,Dabur,Instant Noodles,India,Yes,None,None,E202,Low,8.90491E+12
Tata Consumer Product Variant 367,Tata Consumer,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90994E+12
Parle Product Variant 368,Parle,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.9053E+12
Nestlé India Product Variant 369,Nestlé India,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90754E+12
Balaji Product Variant 370,Balaji,Energy Drink,India,Yes,None,None,None,Low,8.90711E+12
Parle Product Variant 371,Parle,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90995E+12
Paper Boat Product Variant 372,Paper Boat,Dairy Drink,India,Yes,None,None,E211,Low,8.90184E+12
Nestlé India Product Variant 373,Nestlé India,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90202E+12
ITC Product Variant 374,ITC,Instant Noodles,India,Yes,None,None,E202,Low,8.90659E+12
Paper Boat Product Variant 375,Paper Boat,Chocolate,India,Yes,None,None,E202,Low,8.9045E+12
Parle Product Variant 376,Parle,Dessert,India,Yes,None,None,E202,Low,8.90474E+12
Balaji Product Variant 377,Balaji,Breakfast Cereal,India,Yes,None,None,E621,Low,8.90506E+12
Haldiram’s Product Variant 378,Haldiram’s,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90502E+12
Parle Product Variant 379,Parle,Dairy Drink,India,Yes,None,None,E211,Low,8.90894E+12
ITC Product Variant 380,ITC,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90242E+12
Parle Product Variant 381,Parle,Energy Drink,India,Yes,None,None,E202,Low,8.90014E+12
Dabur Product Variant 382,Dabur,Chips,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90251E+12
Amul Product Variant 383,Amul,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90878E+12
Britannia Product Variant 384,Britannia,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9043E+12
Paper Boat Product Variant 385,Paper Boat,Biscuits,India,Yes,None,None,E202,Low,8.90505E+12
Tata Consumer Product Variant 386,Tata Consumer,Dairy Drink,India,Yes,None,None,E202,Low,8.90226E+12
Amul Product Variant 387,Amul,Juice,India,Yes,None,None,None,Low,8.90496E+12
Balaji Product Variant 388,Balaji,Snack,India,Yes,None,None,E621,Low,8.90351E+12
Britannia Product Variant 389,Britannia,Dessert,India,Yes,None,None,None,Low,8.90845E+12
Balaji Product Variant 390,Balaji,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9004E+12
Marico Product Variant 391,Marico,Energy Drink,India,Yes,None,None,E621,Low,8.9089E+12
Parle Product Variant 392,Parle,Chips,India,Yes,None,None,E211,Low,8.9066E+12
Nestlé India Product Variant 393,Nestlé India,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90126E+12
Britannia Product Variant 394,Britannia,Biscuits,India,Yes,None,None,None,Low,8.90098E+12
Britannia Product Variant 395,Britannia,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90777E+12
Marico Product Variant 396,Marico,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90982E+12
Dabur Product Variant 397,Dabur,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9047E+12
Amul Product Variant 398,Amul,Beverage,India,Yes,None,None,E211,Low,8.90544E+12
ITC Product Variant 399,ITC,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90288E+12
Britannia Product Variant 400,Britannia,Candy,India,Yes,None,None,E621,Low,8.90995E+12
Nestlé India Product Variant 401,Nestlé India,Chocolate,India,Yes,None,None,E202,Low,8.90955E+12
Paper Boat Product Variant 402,Paper Boat,Instant Noodles,India,Yes,None,None,E211,Low,8.90191E+12
Britannia Product Variant 403,Britannia,Instant Noodles,India,Yes,None,None,E621,Low,8.9016E+12
Balaji Product Variant 404,Balaji,Chips,India,Yes,None,None,E211,Low,8.90774E+12
Britannia Product Variant 405,Britannia,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90827E+12
Amul Product Variant 406,Amul,Juice,India,Yes,None,None,E202,Low,8.90397E+12
Nestlé India Product Variant 407,Nestlé India,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90943E+12
Parle Product Variant 408,Parle,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90523E+12
Nestlé India Product Variant 409,Nestlé India,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9024E+12
Dabur Product Variant 410,Dabur,Instant Noodles,India,Yes,None,None,E621,Low,8.90034E+12
ITC Product Variant 411,ITC,Dessert,India,Yes,None,None,E211,Low,8.90438E+12
Marico Product Variant 412,Marico,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90582E+12
Britannia Product Variant 413,Britannia,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90162E+12
Marico Product Variant 414,Marico,Instant Noodles,India,Yes,None,None,E202,Low,8.90349E+12
Haldiram’s Product Variant 415,Haldiram’s,Beverage,India,Yes,None,None,E621,Low,8.90997E+12
ITC Product Variant 416,ITC,Snack,India,Yes,None,None,E211,Low,8.90261E+12
Parle Product Variant 417,Parle,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90373E+12
Haldiram’s Product Variant 418,Haldiram’s,Candy,India,Yes,None,None,None,Low,8.90992E+12
Tata Consumer Product Variant 419,Tata Consumer,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90316E+12
Parle Product Variant 420,Parle,Chips,India,Yes,None,None,E621,Low,8.90105E+12
Amul Product Variant 421,Amul,Dessert,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90929E+12
ITC Product Variant 422,ITC,Instant Noodles,India,Yes,None,None,E202,Low,8.90471E+12
Paper Boat Product Variant 423,Paper Boat,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90809E+12
Tata Consumer Product Variant 424,Tata Consumer,Snack,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90307E+12
Haldiram’s Product Variant 425,Haldiram’s,Candy,India,Yes,None,None,E211,Low,8.90643E+12
Tata Consumer Product Variant 426,Tata Consumer,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.9069E+12
Nestlé India Product Variant 427,Nestlé India,Instant Noodles,India,Yes,None,None,None,Low,8.90122E+12
Marico Product Variant 428,Marico,Candy,India,Yes,None,None,E202,Low,8.90727E+12
Tata Consumer Product Variant 429,Tata Consumer,Snack,India,Yes,None,None,None,Low,8.90731E+12
Balaji Product Variant 430,Balaji,Snack,India,Yes,None,None,E621,Low,8.90825E+12
Paper Boat Product Variant 431,Paper Boat,Instant Noodles,India,Yes,None,None,E211,Low,8.90371E+12
Balaji Product Variant 432,Balaji,Biscuits,India,Yes,None,None,None,Low,8.90769E+12
Britannia Product Variant 433,Britannia,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90082E+12
Balaji Product Variant 434,Balaji,Dairy Drink,India,Yes,None,None,None,Low,8.90863E+12
Amul Product Variant 435,Amul,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90393E+12
Haldiram’s Product Variant 436,Haldiram’s,Biscuits,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90324E+12
Tata Consumer Product Variant 437,Tata Consumer,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90555E+12
Dabur Product Variant 438,Dabur,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90505E+12
Balaji Product Variant 439,Balaji,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90576E+12
Amul Product Variant 440,Amul,Snack,India,Yes,None,None,E211,Low,8.90795E+12
Dabur Product Variant 441,Dabur,Candy,India,Yes,None,None,E211,Low,8.90132E+12
Britannia Product Variant 442,Britannia,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90162E+12
Paper Boat Product Variant 443,Paper Boat,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90803E+12
ITC Product Variant 444,ITC,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90908E+12
ITC Product Variant 445,ITC,Biscuits,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90822E+12
Amul Product Variant 446,Amul,Energy Drink,India,Yes,None,None,E202,Low,8.90484E+12
ITC Product Variant 447,ITC,Energy Drink,India,Yes,None,None,E202,Low,8.90478E+12
Britannia Product Variant 448,Britannia,Beverage,India,Yes,None,None,None,Low,8.90014E+12
ITC Product Variant 449,ITC,Chocolate,India,Yes,None,None,E202,Low,8.90355E+12
Britannia Product Variant 450,Britannia,Snack,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90966E+12
Nestlé India Product Variant 451,Nestlé India,Biscuits,India,Yes,None,None,E211,Low,8.90557E+12
Britannia Product Variant 452,Britannia,Beverage,India,Yes,None,None,None,Low,8.90665E+12
Paper Boat Product Variant 453,Paper Boat,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90901E+12
Tata Consumer Product Variant 454,Tata Consumer,Chips,India,Yes,None,None,E202,Low,8.90384E+12
ITC Product Variant 455,ITC,Chips,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.9089E+12
Dabur Product Variant 456,Dabur,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90202E+12
Britannia Product Variant 457,Britannia,Beverage,India,Yes,None,None,E202,Low,8.90561E+12
Haldiram’s Product Variant 458,Haldiram’s,Beverage,India,Yes,None,None,E202,Low,8.90314E+12
Parle Product Variant 459,Parle,Chips,India,Yes,None,None,None,Low,8.9056E+12
Amul Product Variant 460,Amul,Candy,India,Yes,None,None,E621,Low,8.90299E+12
Tata Consumer Product Variant 461,Tata Consumer,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90722E+12
ITC Product Variant 462,ITC,Chips,India,Yes,None,None,E211,Low,8.90711E+12
Nestlé India Product Variant 463,Nestlé India,Energy Drink,India,Yes,None,None,E202,Low,8.90902E+12
Tata Consumer Product Variant 464,Tata Consumer,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90116E+12
ITC Product Variant 465,ITC,Juice,India,Yes,None,None,E621,Low,8.90082E+12
Marico Product Variant 466,Marico,Instant Noodles,India,Yes,None,None,None,Low,8.90312E+12
ITC Product Variant 467,ITC,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90658E+12
Parle Product Variant 468,Parle,Juice,India,Yes,None,None,E211,Low,8.90673E+12
Amul Product Variant 469,Amul,Dessert,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90411E+12
ITC Product Variant 470,ITC,Candy,India,Yes,None,None,E621,Low,8.90924E+12
Haldiram’s Product Variant 471,Haldiram’s,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90611E+12
Nestlé India Product Variant 472,Nestlé India,Chips,India,Yes,None,None,E621,Low,8.90836E+12
Parle Product Variant 473,Parle,Instant Noodles,India,Yes,None,None,E211,Low,8.90685E+12
Nestlé India Product Variant 474,Nestlé India,Juice,India,Yes,None,None,E202,Low,8.90352E+12
Tata Consumer Product Variant 475,Tata Consumer,Breakfast Cereal,India,Yes,None,None,None,Low,8.9083E+12
Dabur Product Variant 476,Dabur,Chips,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90052E+12
Dabur Product Variant 477,Dabur,Biscuits,India,Yes,None,None,E621,Low,8.90621E+12
Britannia Product Variant 478,Britannia,Beverage,India,Yes,None,None,None,Low,8.90768E+12
Dabur Product Variant 479,Dabur,Juice,India,Yes,None,None,E621,Low,8.90261E+12
Marico Product Variant 480,Marico,Chips,India,Yes,None,None,E202,Low,8.90055E+12
Haldiram’s Product Variant 481,Haldiram’s,Energy Drink,India,Yes,None,None,E621,Low,8.90709E+12
Paper Boat Product Variant 482,Paper Boat,Chips,India,Yes,None,None,E621,Low,8.90298E+12
Parle Product Variant 483,Parle,Breakfast Cereal,India,Yes,None,None,E621,Low,8.90466E+12
ITC Product Variant 484,ITC,Biscuits,India,Yes,None,None,E202,Low,8.90544E+12
Paper Boat Product Variant 485,Paper Boat,Juice,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90801E+12
Dabur Product Variant 486,Dabur,Snack,India,Yes,None,None,None,Low,8.90285E+12
Marico Product Variant 487,Marico,Snack,India,Yes,None,None,E621,Low,8.90736E+12
Haldiram’s Product Variant 488,Haldiram’s,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90505E+12
Amul Product Variant 489,Amul,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90363E+12
Britannia Product Variant 490,Britannia,Candy,India,Yes,None,None,E621,Low,8.90715E+12
ITC Product Variant 491,ITC,Beverage,India,Yes,None,None,E202,Low,8.90379E+12
Paper Boat Product Variant 492,Paper Boat,Dessert,India,Yes,None,None,E202,Low,8.90232E+12
Dabur Product Variant 493,Dabur,Chocolate,India,Yes,None,None,None,Low,8.90094E+12
Tata Consumer Product Variant 494,Tata Consumer,Juice,India,Yes,None,None,E211,Low,8.90657E+12
Paper Boat Product Variant 495,Paper Boat,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90985E+12
Marico Product Variant 496,Marico,Dairy Drink,India,Yes,None,None,E202,Low,8.90597E+12
Haldiram’s Product Variant 497,Haldiram’s,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90222E+12
Tata Consumer Product Variant 498,Tata Consumer,Chips,India,Yes,None,None,None,Low,8.90414E+12
Haldiram’s Product Variant 499,Haldiram’s,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90803E+12
Marico Product Variant 500,Marico,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90224E+12
Haldiram’s Product Variant 501,Haldiram’s,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90512E+12
Marico Product Variant 502,Marico,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90851E+12
Britannia Product Variant 503,Britannia,Chips,India,Yes,None,None,E211,Low,8.90455E+12
Balaji Product Variant 504,Balaji,Chips,India,Yes,None,None,E202,Low,8.90083E+12
Paper Boat Product Variant 505,Paper Boat,Candy,India,Yes,None,None,None,Low,8.90122E+12
Haldiram’s Product Variant 506,Haldiram’s,Instant Noodles,India,Yes,None,None,E621,Low,8.9093E+12
Paper Boat Product Variant 507,Paper Boat,Snack,India,Yes,None,None,None,Low,8.90395E+12
Parle Product Variant 508,Parle,Energy Drink,India,Yes,None,None,E202,Low,8.9037E+12
Marico Product Variant 509,Marico,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90785E+12
Marico Product Variant 510,Marico,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90593E+12
Nestlé India Product Variant 511,Nestlé India,Juice,India,Yes,None,None,E621,Low,8.90677E+12
Amul Product Variant 512,Amul,Candy,India,Yes,None,None,E621,Low,8.90403E+12
ITC Product Variant 513,ITC,Dessert,India,Yes,None,None,E211,Low,8.90686E+12
Paper Boat Product Variant 514,Paper Boat,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90189E+12
Haldiram’s Product Variant 515,Haldiram’s,Chips,India,Yes,None,None,None,Low,8.90185E+12
Nestlé India Product Variant 516,Nestlé India,Juice,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90597E+12
Marico Product Variant 517,Marico,Dessert,India,Yes,None,None,E621,Low,8.90594E+12
Balaji Product Variant 518,Balaji,Beverage,India,Yes,None,None,E202,Low,8.90818E+12
Paper Boat Product Variant 519,Paper Boat,Candy,India,Yes,None,None,E211,Low,8.90237E+12
Balaji Product Variant 520,Balaji,Energy Drink,India,Yes,None,None,E202,Low,8.90171E+12
Dabur Product Variant 521,Dabur,Snack,India,Yes,None,None,None,Low,8.90281E+12
Britannia Product Variant 522,Britannia,Candy,India,Yes,None,None,E202,Low,8.90366E+12
Amul Product Variant 523,Amul,Snack,India,Yes,None,None,E211,Low,8.90776E+12
Nestlé India Product Variant 524,Nestlé India,Instant Noodles,India,Yes,None,None,E211,Low,8.90667E+12
Dabur Product Variant 525,Dabur,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90493E+12
Parle Product Variant 526,Parle,Candy,India,Yes,None,None,None,Low,8.90003E+12
Parle Product Variant 527,Parle,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90396E+12
